;valid_species_name;dec_long;dec_lat
1;Atta.sexdens;-60.025;-310.194
2;Atta.sexdens;-59.495.833;-19.075
3;Atta.sexdens;-44.766.667;-22.05
4;Atta.sexdens;-50.983;-29.933
5;Atta.sexdens;-42.882;-20.753
6;Atta.sexdens;-4.112.222.222;-1.951.888.889
7;Atta.sexdens;-47.304;-21.275
8;Atta.sexdens;-4.839.738;-1.917.957
9;Atta.sexdens;-4.288.328;-2.074.739
10;Atta.sexdens;-54;3.1
11;Atta.sexdens;-79.7;911.643
12;Atta.sexdens;-5.531.694.444;-1.230.583.333
13;Atta.sexdens;-5.623.333.333;-1.956.666.667
14;Atta.sexdens;-5.663.944.444;-2.024.166.667
15;Atta.sexdens;-5.499.916.667;-2.326.555.556
16;Atta.sexdens;-5.788.333.333;-2.169.444.444
17;Atta.sexdens;-42.55;-1.966.666.667
18;Atta.sexdens;-4.433.333.333;-1.933.333.333
19;Atta.sexdens;-44.907.265;-18.379.093
20;Atta.sexdens;-4.536.666.667;-1.968.333.333
21;Atta.sexdens;-43.97;-14.81
22;Atta.sexdens;-43.92;-14.81
23;Atta.sexdens;-4.389.027.778;-2.006.416.667
24;Atta.sexdens;-4.385.916.667;-2.005.138.889
25;Atta.sexdens;-47.15;-1.923.333.333
26;Atta.sexdens;-4.686.666.667;-1.721.666.667
27;Atta.sexdens;-45.406.663;-18.155.208
28;Atta.sexdens;-45.459.404;-18.248.576
29;Atta.sexdens;-43.35;-21.767
30;Atta.sexdens;-48.383;-19.167
31;Atta.sexdens;-5.436.666.667;-1.968.333.333
32;Atta.sexdens;-4.483.333.333;-2.126.666.667
33;Atta.sexdens;-45;-2.116.666.667
34;Atta.sexdens;-44;-21
35;Atta.sexdens;-43.8;-20.333
36;Atta.sexdens;-4.283.333.333;-20.75
37;Atta.sexdens;-4.480.583.333;-1.554.055.556
38;Atta.sexdens;-47.517;-2.983
39;Atta.sexdens;-56.5;-1.75
40;Atta.sexdens;-3.518.611.111;-8.376.944.444
41;Atta.sexdens;-3.494.361.111;-7.991.666.667
42;Atta.sexdens;-52.991;-26.857
43;Atta.sexdens;-5.290.333.333;-2.733.805.556
44;Atta.sexdens;-5.264.194.444;-270.975
45;Atta.sexdens;-5.316.277.778;-2.706.833.333
46;Atta.sexdens;-5.298.888.889;-2.684.805.556
47;Atta.sexdens;-5.231.083.333;-2.714.916.667
48;Atta.sexdens;-52.75;-2.805.055.556
49;Atta.sexdens;-5.261.833.333;-2.709.638.889
50;Atta.sexdens;-5.277.777.778;-2.709.722.222
51;Atta.sexdens;-60.699.459;-31.632.389
52;Atta.sexdens;-4.763.888.889;-2.282.111.111
53;Atta.sexdens;-4.619.861.111;-2.348.944.444
54;Atta.sexdens;-47.85;-22.2
55;Atta.sexdens;-46.18;-2.341.805.556
56;Atta.sexdens;-4.638.111.111;-2.391.361.111
57;Atta.sexdens;-4.631.527.778;-2.387.277.778
58;Atta.sexdens;-5.057.583.333;-2.241.277.778
59;Atta.sexdens;-4.621.694.444;-2.352.138.889
60;Atta.sexdens;-4.619.527.778;-2.348.805.556
61;Atta.sexdens;-47.5;-22.35
62;Atta.sexdens;-4.774.666.667;-2.240.611.111
63;Atta.sexdens;-47.55;-2.241.666.667
64;Atta.sexdens;-5.005.944.444;-20.7
65;Atta.sexdens;-4.768.333.333;-22.2
66;Atta.sexdens;-47.1;-22.817
67;Atta.sexdens;-4.993.333.333;-22.2
68;Atta.sexdens;-4.720.555.556;-213.075
69;Atta.sexdens;-47.85;-21.55
70;Atta.sexdens;-37.161.389;-10.821.056
71;Atta.sexdens;-37.161.306;-10.817.111
72;Atta.sexdens;-99.584;19.43
73;Atta.sexdens;-60.025;-203.444
74;Atta.sexdens;-47.800.125;-21.209.188
75;Atta.sexdens;-54.454.357;-25.682.479
76;Atta.sexdens;-47.366.672;-2.192.573
77;Atta.sexdens;-4.894.627;-15.816.553
78;Atta.sexdens;-46.621.868;-23.650.881
79;Atta.sexdens;-46.735.019;-22.919.704
80;Atta.sexdens;-54.561.783;-25.606.758
81;Atta.sexdens;-44.309.224;-2.558.493
82;Atta.sexdens;-5.447.902;-25.613.182
83;Atta.sexdens;-64.870.135;-14.786.007
84;Atta.sexdens;-46.786.602;-23.419.272
85;Atta.sexdens;-43.957.424;-19.866.954
86;Atta.sexdens;-67.676.736;-15.779.464
87;Atta.sexdens;-79.557.687;911.208
88;Atta.sexdens;-800.366;84.483
89;Atta.sexdens;-47.075.083;-22.820.512
90;Atta.sexdens;-44.983.447;-21.232.681
91;Atta.sexdens;-54.919.742;-28.771.703
92;Atta.sexdens;-47.915.672;-21.996.384
93;Atta.sexdens;-6.782.792;-994.742
94;Atta.sexdens;-40.675.562;-19.805.095
95;Atta.sexdens;-54.559.988;-25.555.219
96;Atta.sexdens;-46.628.026;-22.466.467
97;Atta.sexdens;-38.433.756;-12.928.803
98;Atta.sexdens;-45.038.022;-23.418.006
99;Atta.sexdens;-46.363.695;-23.965.492
100;Atta.sexdens;-47.444.633;-22.002.322
101;Atta.sexdens;-47.055.513;-22.874.492
102;Atta.sexdens;-7.969.966;9.117.328
103;Atta.sexdens;-56.950.518;-26.020.995
104;Atta.sexdens;-41.288.284;-21.761.125
105;Atta.sexdens;-54.133.892;-25.533.916
106;Atta.sexdens;-47.290.929;-5.442.636
107;Atta.sexdens;-47.898.541;-2.200.577
108;Atta.sexdens;-82.433.113;8.437.172
109;Atta.sexdens;-47.226.811;-23.268.657
110;Atta.sexdens;-54.449.059;-25.714.919
111;Atta.sexdens;-47.866.746;-21.991.918
112;Atta.sexdens;-52.676.631;5.170.897
113;Atta.sexdens;-46.393.057;-23.593.726
114;Atta.sexdens;-47.866.592;-21.991.896
115;Atta.sexdens;-47.866.616;-21.991.889
116;Atta.sexdens;-47.866.684;-21.991.929
117;Atta.sexdens;-47.282.647;-15.229.363
118;Atta.sexdens;-57.504.683;-25.238.651
119;Atta.sexdens;-43.975.409;-19.880.563
120;Atta.sexdens;-4.399.498;-19.849.758
121;Atta.sexdens;-63.193.042;-1.777.575
122;Atta.sexdens;-43.981.544;-19.858.818
123;Atta.sexdens;-43.896.785;-19.932.228
124;Atta.sexdens;-43.959.733;-19.834.103
125;Atta.sexdens;-43.960.776;-19.832.789
126;Atta.sexdens;-44.044.436;-19.983.583
127;Atta.sexdens;-44.011.176;-19.863.494
128;Atta.sexdens;-43.998.493;-19.887.509
129;Atta.sexdens;-46.478.236;-23.583.774
130;Atta.sexdens;-43.309.206;-22.564.143
131;Atta.sexdens;-52.289.172;4.876.683
132;Atta.sexdens;-42.042.302;-20.962.874
133;Atta.sexdens;-67.824.199;-16.039.254
134;Atta.sexdens;-4.637.598;-22.794.147
135;Atta.sexdens;-54.540.897;-25.555.015
136;Atta.sexdens;-48.139.681;-22.676.824
137;Atta.sexdens;-540.875;-26.625.573
138;Atta.sexdens;-45.472.382;-22.440.218
139;Atta.sexdens;-40.694.356;-19.911.785
140;Atta.sexdens;-43.229.401;-2.296.731
141;Atta.sexdens;-57.572.062;-25.249.472
142;Atta.sexdens;-54.796.724;-26.729.114
143;Atta.sexdens;-54.553.703;-25.612.519
144;Atta.sexdens;-54.559.617;-25.613.147
145;Atta.sexdens;-54.567.012;-25.600.339
146;Atta.sexdens;-466.634;-230.593
147;Atta.sexdens;-73.274.793;-3.767.128
148;Atta.sexdens;-46.712.953;-21.933.335
149;Atta.sexdens;-46.965.758;-23.206.597
150;Atta.sexdens;-52.318.316;-23.866.578
151;Atta.sexdens;-47.105.483;-228.322
152;Atta.sexdens;-47.104.925;-22.827.816
153;Atta.sexdens;-46.648.706;-23.784.252
154;Atta.sexdens;-54.586.763;-25.641.907
155;Atta.sexdens;-40.675.188;-19.804.978
156;Atta.sexdens;-54.557.816;-25.608.155
157;Atta.sexdens;-55.962.064;-14.590.098
158;Atta.sexdens;-43.436.036;-22.585.445
159;Atta.sexdens;-79.173.395;9.158.642
160;Atta.sexdens;-46.475.613;-23.577.828
161;Atta.sexdens;-464.814;-2.342.439
162;Atta.sexdens;-73.512.391;9.661.319
163;Atta.sexdens;-45.891.566;-23.219.764
164;Atta.sexdens;-40.674.008;-19.805.537
165;Atta.sexdens;-54.548.767;-25.625.422
166;Atta.sexdens;-48.016.805;-22.690.086
167;Atta.sexdens;-44.981.425;-21.229.238
168;Atta.sexdens;-54.169.256;-2.585.838
169;Atta.sexdens;-44.549.012;-22.385.428
170;Atta.sexdens;-45.884.931;-23.170.895
171;Atta.sexdens;-4.728.255;-15.229.342
172;Atta.sexdens;-5.559.096;-27.283.391
173;Atta.sexdens;-51.188.718;-27.562.236
174;Atta.sexdens;-44.979.092;-21.230.448
175;Atta.sexdens;-4.686.882;-2.363.986
176;Atta.sexdens;-47.435.422;-2.197.756
177;Atta.sexdens;-54.134.206;-25.534.101
178;Atta.sexdens;-46.349.065;-2.244.058
179;Atta.sexdens;-69.174.672;-12.592.645
180;Atta.sexdens;-54.454.043;-25.681.297
181;Atta.sexdens;-4.997.495;-214.466
182;Atta.sexdens;-44.139.228;-23.161.483
183;Atta.sexdens;-45.823.935;-23.246.954
184;Atta.sexdens;-73.613.937;9.575.176
185;Atta.sexdens;-73.613.479;957.541
186;Atta.sexdens;-73.613.085;9.575.605
187;Atta.sexdens;-54.585.403;-25.516.485
188;Atta.sexdens;-46.713.039;-21.933.275
189;Atta.sexdens;-56.200.387;-27.074.975
190;Atta.sexdens;-4.498.484;-21.232.032
191;Atta.sexdens;-63.387.714;-17.994.283
192;Atta.sexdens;-76.360.008;-6.477.658
193;Atta.sexdens;-56.957.386;-19.494.547
194;Atta.sexdens;-47.890.275;-22.023.222
195;Atta.sexdens;-44.977.467;-21.233.823
196;Atta.sexdens;-47.811.085;-21.169.402
197;Atta.sexdens;-44.073.446;-19.945.644
198;Atta.sexdens;-67.864.903;-9.956.557
199;Atta.sexdens;-48.021.044;-15.833.756
200;Atta.sexdens;-76.350.089;-6.460.289
201;Atta.sexdens;-44.984.443;-21.227.053
202;Atta.sexdens;-56.957.845;-1.949.372
203;Atta.sexdens;-72.713.958;2.510.797
204;Atta.sexdens;-46.449.717;-4.321.071
205;Atta.sexdens;-46.449.751;-4.321.905
206;Atta.sexdens;-44.074.516;-22.949.052
207;Atta.sexdens;-49.053.806;-22.293.588
208;Atta.sexdens;-54.446.764;-25.714.772
209;Atta.sexdens;-349.467;-80.101
210;Atta.sexdens;-54.545.475;-25.596.761
211;Atta.sexdens;-54.575.987;-25.504.192
212;Atta.sexdens;-5.289.202;-18.263.867
213;Atta.sexdens;-66.765.379;-14.115.366
214;Atta.sexdens;-39.859.915;-18.675.262
215;Atta.sexdens;-54.454.438;-25.682.794
216;Atta.sexdens;-54.454.511;-2.568.319
217;Atta.sexdens;-46.470.092;-430.908
218;Atta.sexdens;-56.066.266;-9.914.231
219;Atta.sexdens;-4.701.774;-23.665.498
220;Atta.sexdens;-81.316.551;7.988.655
221;Atta.sexdens;-79.529.495;9.176.955
222;Atta.sexdens;-81.326.594;8.083.453
223;Atta.sexdens;-80.417.025;8.537.523
224;Atta.sexdens;-80.327.751;7.765.824
225;Atta.sexdens;-44.989.785;-21.231.888
226;Atta.sexdens;-52.300.275;4.941.241
227;Atta.sexdens;-8.133.067;8.003.713
228;Atta.sexdens;-81.329.712;7.999.509
229;Atta.sexdens;-80.271.159;7.765.702
230;Atta.sexdens;-80.941.066;8.049.905
231;Atta.sexdens;-8.097.761;8.105.915
232;Atta.sexdens;-80.979.233;8.101.107
233;Atta.sexdens;-49.695.074;-2.426.681
234;Atta.sexdens;-81.315.347;8.010.497
235;Atta.sexdens;-81.329.112;8.004.479
236;Atta.sexdens;-81.323.074;8.007.318
237;Atta.sexdens;-7.969.524;8.957.669
238;Atta.sexdens;-79.579.617;909.778
239;Atta.sexdens;-81.328.423;8.008.852
240;Atta.sexdens;-40.308.108;-20.127.945
241;Atta.sexdens;-66.355.696;-9.773.745
242;Atta.sexdens;-81.310.073;8.004.547
243;Atta.sexdens;-546.315;-255.604
244;Atta.sexdens;-546.126;-255.215
245;Atta.sexdens;-546.322;-255.607
246;Atta.sexdens;-575.324;-252.257
247;Atta.sexdens;-43.638.908;-20.207.152
248;Atta.sexdens;-69.217.553;-12.597.978
249;Atta.sexdens;-47.795.028;-2.119.568
250;Atta.sexdens;-69.295.731;-12.803.947
251;Atta.sexdens;-69.297.528;-12.803.372
252;Atta.sexdens;-5.233.021;4.872.727
253;Atta.sexdens;-5.444.771;-25.682.391
254;Atta.sexdens;-38.573.951;-3.753.521
255;Atta.sexdens;-47.963.219;-19.774.242
256;Atta.sexdens;-41.115.315;-2.130.439
257;Atta.sexdens;-46.573.521;-23.756.423
258;Atta.sexdens;-79.953.882;8.877.813
259;Atta.sexdens;-67.865.882;-9.957.441
260;Atta.sexdens;-727.042;108.767
261;Atta.sexdens;-727.046;108.783
262;Atta.sexdens;-72.734;109.138
263;Atta.sexdens;-727.041;108.788
264;Atta.sexdens;-72.728;109.147
265;Atta.sexdens;-727.336;109.112
266;Atta.sexdens;-78.774.202;-559.505
267;Atta.sexdens;-46.737.152;-23.559.377
268;Atta.sexdens;-40.724.672;-20.841.195
269;Atta.sexdens;-3.992.774;-18.699.745
270;Atta.sexdens;-47.335.023;-1.555.251
271;Atta.sexdens;-5.554.467;-11.863.722
272;Atta.sexdens;-63.158.597;-17.749.143
273;Atta.sexdens;-82.432.612;8.495.858
274;Atta.sexdens;-54.583.801;-25.659.203
275;Atta.sexdens;-69.520.782;-12.894.166
276;Atta.sexdens;-54.448.602;-25.714.998
277;Atta.sexdens;-54.556.791;-25.608.928
278;Atta.sexdens;-54.550.816;-25.606.054
279;Atta.sexdens;-47.826.306;-15.943.799
280;Atta.sexdens;-46.170.603;-23.508.719
281;Atta.sexdens;-72.914.895;-3.258.755
282;Atta.sexdens;-79.700.417;9.116.689
283;Atta.sexdens;-5.443.647;-25.715.672
284;Atta.sexdens;-63.598.297;-18.105.172
285;Atta.sexdens;-5.445.372;-2.568.102
286;Atta.sexdens;-445.223;-224.551
287;Atta.sexdens;-46.465.367;-23.571.327
288;Atta.sexdens;-46.163.378;-23.200.507
289;Atta.sexdens;-76.352.264;-6.464.004
290;Atta.sexdens;-57.507.758;-192.081
291;Atta.sexdens;-4.663.991;-23.459.352
292;Atta.sexdens;-45.886.501;-23.168.112
293;Atta.sexdens;-54.453.605;-25.681.194
